user_id,age_group,country,subscription_type,signup_source,total_courses_enrolled,total_courses_completed,avg_video_watch_time_per_day,days_since_last_login,assessments_attempted,avg_session_length,forum_posts,mobile_usage_ratio,weekly_learning_sessions,learning_streak_days,assignment_completion_rate,quiz_score_average,dropout_midcourse,payment_success_rate,billing_failures,subscription_price,discounts_used,refunds_requested,churn
1,25-34,Canada,Free,Referral,5,3,0.53,44,4,18.27,1,0.26,3,5,0.13,76.68,0,0.9,0,0,1,0,1
2,55+,India,Free,Organic,2,1,12.29,24,6,13.28,1,0.72,2,3,0.9,64.17,0,0.94,0,0,0,0,0
3,35-44,India,Free,Ads,1,1,20.94,35,5,21.33,1,0.44,5,7,0.19,35.79,1,0.98,0,0,2,0,1
4,25-34,UK,Free,Google,5,0,15.88,47,6,18.45,1,0.87,3,11,0.64,67.8,0,0.7,0,0,2,0,1
5,18-24,USA,Free,Google,3,0,3.32,10,1,9.89,0,0.36,5,2,0.04,62.53,1,0.75,0,0,0,0,1
6,18-24,Canada,Free,Ads,2,0,36.89,51,6,11.42,0,0.95,2,1,0.09,71.12,0,0.82,0,0,3,0,1
7,18-24,Other,Free,Ads,1,1,20.85,55,3,18.31,0,0.98,3,0,0.06,71.36,0,0.76,2,0,0,0,1
8,45-54,India,Monthly,Ads,3,2,17.92,48,1,17.77,0,0.54,5,8,0.51,73.61,0,0.94,0,20,2,0,1
9,35-44,Canada,Monthly,Google,3,1,80.96,48,1,9.71,2,0.97,3,0,0.47,53.95,1,0.7,0,20,0,0,1
10,35-44,India,Free,Organic,0,0,17.96,23,2,10.3,2,0.9,5,4,0.89,71.81,0,0.74,1,0,0,0,1
11,18-24,USA,Annual,Referral,4,3,1.03,35,2,11.59,0,0.94,1,0,0.4,89.13,1,0.95,0,150,0,1,1
12,55+,India,Monthly,Google,2,0,9.74,21,4,5.13,2,0.66,4,8,0.1,85.71,0,0.94,0,20,0,0,1
13,45-54,India,Monthly,Google,1,1,30.89,35,4,14.22,0,0.52,1,1,0.39,59.02,1,0.81,0,20,1,0,1
14,18-24,India,Annual,Ads,8,4,8.48,57,4,4.74,1,0.24,8,3,0.79,72.12,1,0.83,1,150,1,0,1
15,18-24,India,Free,Ads,2,0,1.59,15,1,4.83,2,0.68,0,9,0.8,75.35,0,0.97,0,0,1,0,1
16,18-24,Germany,Monthly,Google,4,3,1.94,32,4,16.06,1,0.49,6,8,0.53,64.3,1,0.85,0,20,0,0,1
17,25-34,Canada,Monthly,Referral,2,0,13.02,27,2,18.25,3,0.66,7,13,0.84,43.31,1,0.9,0,20,1,0,1
18,25-34,Other,Free,Google,2,0,1.73,20,5,16.02,0,0.45,2,14,0.46,89.21,0,1.0,0,0,0,0,1
19,25-34,USA,Free,Ads,0,0,12.44,12,4,5.11,0,0.81,2,3,0.77,69.22,0,0.81,0,0,2,0,1
20,25-34,India,Monthly,Google,2,0,18.96,52,6,24.54,3,0.78,0,13,0.9,67.58,1,0.95,0,20,0,0,1
21,35-44,India,Free,Google,2,0,0.82,7,5,17.29,1,0.27,3,2,0.62,73.03,0,0.98,0,0,0,0,1
22,18-24,India,Annual,Ads,2,0,8.04,59,2,19.39,0,0.89,6,0,0.77,69.53,0,0.97,0,150,0,0,1
23,25-34,India,Monthly,Google,2,1,3.08,20,3,23.46,1,0.59,2,10,0.26,76.84,1,0.72,0,20,2,0,0
24,25-34,UK,Monthly,Google,3,1,5.11,31,5,11.44,1,0.74,2,5,0.64,59.17,1,0.8,0,20,2,0,1
25,25-34,USA,Free,Ads,1,0,6.12,8,6,14.36,1,0.67,3,5,0.77,91.66,0,0.85,0,0,1,0,1
26,35-44,USA,Monthly,Organic,0,0,35.59,41,3,10.82,0,0.68,4,3,0.25,86.73,0,0.73,0,20,2,1,1
27,18-24,India,Free,Ads,5,1,13.47,12,3,15.62,0,0.96,5,8,0.84,82.65,1,0.93,0,0,1,0,0
28,25-34,India,Free,Google,1,0,7.77,54,4,16.16,0,0.62,1,12,0.47,59.62,0,0.71,1,0,2,0,1
29,25-34,India,Monthly,Google,0,0,3.32,42,1,18.11,5,0.89,3,0,0.28,73.41,0,0.99,0,20,1,0,1
30,18-24,India,Free,Ads,1,0,15.49,52,3,18.05,0,0.35,3,9,0.25,38.28,0,0.98,1,0,1,0,1
31,35-44,Canada,Monthly,Google,1,0,12.53,0,4,13.57,2,0.93,4,7,0.07,77.0,0,0.79,1,20,0,0,1
32,18-24,India,Monthly,Google,0,0,11.17,47,3,9.84,0,0.44,1,1,0.76,72.74,0,0.92,0,20,1,1,1
33,18-24,Canada,Free,Google,7,7,7.31,15,2,17.82,1,0.97,3,12,0.95,42.64,0,0.88,0,0,1,0,0
34,45-54,USA,Monthly,Ads,5,4,29.39,10,5,22.78,1,0.47,3,2,0.8,82.13,0,0.9,1,20,0,0,0
35,55+,India,Monthly,Ads,2,0,19.24,18,5,19.28,0,0.91,6,9,0.54,48.58,1,0.94,0,20,2,0,1
36,45-54,Germany,Monthly,Ads,4,3,49.15,37,4,21.09,1,0.32,1,9,0.99,88.69,0,0.75,1,20,1,0,1
